,index,isbn,book_title,book_author,year_of_publication,publisher,img_l,Summary,Category,Borrowed
14,14,0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg,"A young news reporter on assignment at a large metropolitan hospital
is horrified when she sees that a young Jane Doe whom paramedics have
failed to save has a face identical to her own",Fiction,141
15,15,0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg,"Koontz looks heavenward for inspiration in his newest suspense
thriller, which is chock-full of signs, portents, angels, and one
somewhat second-rate devil, a murky and undercharacterized guy named
Junior Cain who throws his beloved wife ...",Fiction,205
16,16,0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg,"Angered over the governor&#39;s order on speed traps, the eccentric
inhabitants of the Isle of Tangier, off the coast of Virginia, declare
war on their own state, and it is up to Judy Hammer, the new
superintendent of the state police, to stop ...",Fiction,271
17,17,042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg,"Eve Dallas must face the impossible: someone has unleashed a computer
virus that may be able to spread from machine to man.",Fiction,101
18,18,0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg,"Presents an anthology of Christmas stories reflecting on the various
ways in which the holidays serve as a catalyst to promote change,
growth, and new beginnings",Fiction,57
19,19,0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg,"After a violent encounter with a homeless man, talented corporate
lawyer Michael finds himself out in the streets, lucky to be alive,
and holding a top-secret file belonging to his former employers",Fiction,506
20,20,0380715899,A Soldier of the Great War,Mark Helprin,1992,Avon Books,http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg,"Encountering a younger man on a road in Italy, seventy-something
professor Alessandro Guiliani recounts his experiences, spinning a
tale of love, loss, tragedy, madmen, dwarves, and mafiosi. Reprint.",Fiction,25
21,21,0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books,http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg,"Dr. Carl Sagan Takes Us on a Great Reading Adventure, Offering his
Vivid and Startling Insight Into the Brain of Man and Beast, the
Origin of Human Intelligence, the Function of our Most Haunting
Legends -- and Their Amazing Links to Recent ...",Science,30
22,22,1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company,http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg,"The story of a simple country girl whose family&#39;s pretentions lead
to her destruction",Fiction,25
23,23,0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg,"An expert in Chinese philosophy explains facets of Taoism using
Milne&#39;s famous character and explores the world of Winnie-the-Pooh
through Tao, characterizing Pooh as a simple bear who subscribes to
the principles of successful living",Humor,204
24,24,0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg,"Retraces the journey of Seabiscuit, a horse with crooked legs and a
pathetic tail that made racing history in 1938, thanks to the efforts
of a trainer, owner, and jockey who transformed a bottom-level
racehorse into a legend.",History,179
25,25,0441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books,http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg,"In a futuristic military adventure a recruit goes through the roughest
boot camp in the universe and into battle with the Terran Mobile
Infantry in what historians would come to call the First Interstellar
War",Fiction,84
26,26,0375410538,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf,http://images.amazon.com/images/P/0375410538.01.LZZZZZZZ.jpg,"A forensic pathologist returns to Sri Lanka--after 15 years abroad--to
assist in identifying victims of the country&#39;s civil war",Fiction,27
27,27,0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg,"&quot; The hero-narrator of The Catcher in the Rye is an ancient child
of sixteen, a native New Yorker named Holden Caufield.",Fiction,406
28,28,0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg,"In charming, beautiful, and wealthy old-South Savannah, Georgia, the
local bad boy is shot dead inside of the opulent mansion of a gay
antiques dealer, and a gripping trial follows",History,252
29,29,0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg,"Placed in the federal witness protection program after seeing a
murder, Manhattan real-estate agent Lacey Farrell nevertheless must
solve the case before she becomes the next victim",Fiction,167
30,30,0312252617,Fast Women,Jennifer Crusie,2001,St. Martin's Press,http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg,"Following her divorce, Nell Dysart takes a job working for a detective
agency and finds herself knee deep in embezzlement, bribery,
blackmail, arson, adultery, murder, and passion with her boss, Gabe
McKenna. 75,000 first printing.",Fiction,168
31,31,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book,http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg,"Set in twelfth-century England, this epic of kings and peasants
juxtaposes the building of a magnificent church with the violence and
treachery that often characterized the Middle Ages. Reissue.",Fiction,224
32,32,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg,"The idyllic world of the Greek island of Cephallonia is forever
changed by the inexorable changes of World War II, as the inhabitants
struggle to cope with the Axis invasion and occupation",Fiction,111
33,33,0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg,"With a timeless tale, appealing to all, this is a book that readers of
fine fiction, and those who loved Tuesdays with Morrie, will treasure.",Fiction,413
34,34,0446608653,The Alibi,Sandra Brown,2000,Warner Books,http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg,"In this suspenseful Southern thriller and #1 New York Times
bestseller, an ambitious prosecutor investigates a high-stakes case
after Charleston&#39;s most powerful real estate magnate is murdered.",Fiction,122
35,35,0451208080,The Short Forever,Stuart Woods,2003,Signet Book,http://images.amazon.com/images/P/0451208080.01.LZZZZZZZ.jpg,"Arriving in London to find a young woman, who has been seen in the
company of an unsavory gentleman, for a client, Stone Barrington
stumbles upon a deadly rivalry between two spies and is implicated in
a horrifying double murder.",Fiction,56
36,36,0553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books,http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg,"During a gut-wrenching assignment photographing a disaster,
photojournalist Alex Graham begins to suspect that the
&quot;natural&quot; catastrophe had really been a case of premeditated
mass murder, but when the former military assassin assigned to ...",Fiction,53
37,37,0316735736,All He Ever Wanted: A Novel,Anita Shreve,2004,Back Bay Books,http://images.amazon.com/images/P/0316735736.01.LZZZZZZZ.jpg,"Written with the intelligence and grace that are the hallmarks of
Anita Shreve&#39;s bestselling novels, this gripping tale of desire,
jealousy, and loss is peopled by unforgettable characters as real as
the emotions that bring them together.",Fiction,32
38,38,0425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group,http://images.amazon.com/images/P/0425184226.01.LZZZZZZZ.jpg,"Peace may finally be at hand in the Middle East - as Deputy Director
of the CIA Jack Ryan lays the groundwork for a peace plan that could
end centuries of conflict.",Fiction,141
39,39,0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial,http://images.amazon.com/images/P/0060929790.01.LZZZZZZZ.jpg,"The rise and fall, birth and death, of the mythical town of Macondo
through the history of the Buendía family.",Fiction,129
40,40,0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg,"Don&#39;t miss Little Altars Everywhere, the New York Times
bestselling companion novel that introduces the Ya-Yas and is also a
basis for the film.",Fiction,417
41,41,0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch,http://images.amazon.com/images/P/0061099325.01.LZZZZZZZ.jpg,"Jim Chee is torn between his role as the prosecution&#39;s star
witness against the man charged with killing his best friend and his
own investigation of the crime. Reprint",Fiction,67
42,42,0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books,http://images.amazon.com/images/P/0446601640.01.LZZZZZZZ.jpg,"Restless loner and motorcycle rider Michael Tillman is unable to
resist his powerful feelings for Jellie Braden, a free spirit trapped
in a passionless marriage. By the author of The Bridges of Madison
County. Reprint.",Fiction,223
43,43,038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor,http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg,"In 1935 England, thirteen-year-old Briony Tallis witnesses an event
involving her sister Cecilia and her childhood friend Robbie Turner,
and she becomes the victim of her own imagination, which leads her on
a lifelong search for truth and ...",Fiction,164
44,44,0345425294,Gangster,Lorenzo Carcaterra,2002,Fawcett Books,http://images.amazon.com/images/P/0345425294.01.LZZZZZZZ.jpg,"By taking Gabe under his wing and teaching him everything he knows,
Angelo Vestieri will learn, in the winter of his life, which is
greater: his love for the boy he cherishes, or his need to be a
gangster and to live by the savage rules he ...",Fiction,20
45,45,0451410319,Hush,Anne Frasier,2002,Onyx Books,http://images.amazon.com/images/P/0451410319.01.LZZZZZZZ.jpg,"Sixteen years after her own son fell victim to a serial killer,
criminal profiler Ivy Dunlap is called in by the Chicago police to
help them find the Madonna Murderer, an unknown killer who has
returned to stalk the city, and Ivy must ...",Fiction,59
46,46,0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books,http://images.amazon.com/images/P/0553583468.01.LZZZZZZZ.jpg,"As a series of grisly murders terrorizes the small, backwoods town of
Silence, Nell Gallagher, a young woman with special psychic gifts,
holds the power to unravel the mystery, uncover the dark secrets that
could destroy the town, and find ...",Fiction,82
47,47,8401422825,Fahrenheit 451,Ray Bradbury,1993,"Plaza & Janes Editores, S.A.",http://images.amazon.com/images/P/8401422825.01.LZZZZZZZ.jpg,Fahrenheit 451 ofrece la historia de un sombrio y horroroso futuro.,Fiction,390
48,48,0380778556,Rebecca,Daphne Du Maurier,1994,Avon,http://images.amazon.com/images/P/0380778556.01.LZZZZZZZ.jpg,"Danvers -- still loyal. And as an eerie presentiment of evil tightened
around her heart, the second Mrs. de Winter began her search for the
real fate of Rebecca...for the secrets of Manderley.",Fiction,133
49,49,0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta,http://images.amazon.com/images/P/0385336772.01.LZZZZZZZ.jpg,"Even though she is out of work and her apartment is too small,
newlywed Amy Thomas Stewart finds herself longing to have a baby.",Fiction,26
50,50,0505524996,Contact,Susan Grant,2002,Love Spell,http://images.amazon.com/images/P/0505524996.01.LZZZZZZZ.jpg,"An airline officer on a trans-Atlantic flight finds her ship hijacked
by aliens and a member of her crew the only one she can trust—and
eventually love.",Fiction,161
51,51,044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books,http://images.amazon.com/images/P/044651747X.01.LZZZZZZZ.jpg,"The author of the blockbuster The Bridges of Madison County blends
passion and adventure in the story of an American novelist in Mexico
and his young lover, who take a trip with a killer.",Fiction,55
52,52,039575514X,My Antonia,Willa Cather,1995,Mariner Books,http://images.amazon.com/images/P/039575514X.01.LZZZZZZZ.jpg,"The reminiscences of a New York lawyer, Jim Burden, about his boyhood
in Nebraska, particularly a young Bohemian girl named Antonia
Shimerda, are set against the backdrop of the American assimilation of
immigrants.",Fiction,26
53,53,0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications,http://images.amazon.com/images/P/0486284735.01.LZZZZZZZ.jpg,"In early nineteenth-century England, a spirited young woman copes with
the suit of a snobbish gentleman, as well as the romantic
entanglements of her four sisters.",Fiction,33
54,54,0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books,http://images.amazon.com/images/P/0345354931.01.LZZZZZZZ.jpg,"Then she met the Horseman. And she discovered that one who would ride
a night mare was a master of bit and spur, and not a man to surrender
her. For the night mare, it all began to be a horrible nightmare!",Fiction,26
55,55,0060977493,The God of Small Things,Arundhati Roy,1998,Perennial,http://images.amazon.com/images/P/0060977493.01.LZZZZZZZ.jpg,"A debut novel of dark foreboding and family tragedy that won the
prestigious Booker Prize traces the decline of one family in Southern
India in the late sixties, which begins with an episode of forbidden
love. Reprint. Tour.",Fiction,267
56,56,0140272100,Vanished,Mary McGarry Morris,1997,Penguin Books,http://images.amazon.com/images/P/0140272100.01.LZZZZZZZ.jpg,Aubrey Wallace is the kind of man no one notices.,Fiction,120
57,57,0156006529,Where or When  : A Novel,Anita Shreve,1999,Harvest Books,http://images.amazon.com/images/P/0156006529.01.LZZZZZZZ.jpg,"When two lovers meet once again after thirty-one years of separation,
they renew their attraction to each other and grapple with the issues
of aging, erotic love, and betrayal. Reprint. 20,000 first printing.",Fiction,92
58,58,0312169787,The Red Tent : A Novel,Anita Diamant,1997,St. Martin's Press,http://images.amazon.com/images/P/0312169787.01.LZZZZZZZ.jpg,"In a story based on the Book of Genesis, Jacob&#39;s only daughter,
Dinah, shares her unique perspective on the origins of many of our
modern religious practices and sexual politics, eager to impart the
lessons in endurance and humanity she has ...",Fiction,27
59,59,0345378490,Congo,Michael Crichton,1995,Ballantine Books,http://images.amazon.com/images/P/0345378490.01.LZZZZZZZ.jpg,"Armed with the latest gifts of advanced technology, a California
scientist, a ruthless corporation agent, and a mercenary hunter face
the dangers of the Congo jungle in search of the diamonds of the lost
city of Zinj Deep in the heart of ...",Fiction,284
60,60,0345404793,Protect and Defend,Richard North Patterson,2001,Ballantine Books,http://images.amazon.com/images/P/0345404793.01.LZZZZZZZ.jpg,"When the Chief Justice of the Supreme Court drops dead following the
inauguration, President Kerry Kilcannon selects as a replacement Judge
Caroline Masters, a woman who hides a secret that could affect her
ruling on a controversial case.",Fiction,89
61,61,0373483880,The Macgregors: Serena - Caine (The Macgregors),Nora Roberts,1998,Silhouette,http://images.amazon.com/images/P/0373483880.01.LZZZZZZZ.jpg,"The MacGregors; Serena &amp; Caine by Nora Roberts released on Oct 23,
1998 is available now for purchase.",Fiction,41
62,62,0375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf,http://images.amazon.com/images/P/0375400117.01.LZZZZZZZ.jpg,"&quot;Captivating, minutely imagined . . . a novel that refuses to
stay shut&quot; (&quot;Newsweek&quot;), &quot;Memoirs of a
Geisha&quot; is now released in a movie tie-in edition.",Fiction,75
63,63,0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage,http://images.amazon.com/images/P/0375705856.01.LZZZZZZZ.jpg,"From the unsettled lives of a small-town teacher struggling to raise
two boys alone in the face of their mother&#39;s retreat from life, a
pregnant teenage girl with nowhere to go, and two elderly bachelor
farmers emerges a new vision of life ...",Fiction,148
64,64,0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon,http://images.amazon.com/images/P/0380717018.01.LZZZZZZZ.jpg,"Pop-up paper sculptures for each letter celebrate the Christmas
season.",Fiction,131
65,65,0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,http://images.amazon.com/images/P/0380718332.01.LZZZZZZZ.jpg,"Dr. Kay Scarpetta is up against a serial killer who targets young
lovers.",Fiction,176
66,66,0385508042,The King of Torts,John Grisham,2003,Doubleday Books,http://images.amazon.com/images/P/0385508042.01.LZZZZZZZ.jpg,"The author of such best-selling legal thrillers as The Summons and The
Brethren presents his latest novel of courtroom and legal suspense.
2,500,000 first printing. $2,500,000 ad/promo.",Fiction,431
67,67,0385511612,Bleachers,John Grisham,2003,Doubleday,http://images.amazon.com/images/P/0385511612.01.LZZZZZZZ.jpg,"From the best-selling author of The Painted House, Skipping Christmas,
and The Firm comes a nostalgic novel about high school football in a
small Texas town, a place in which football has become a religion.
2,000,000 first printing.",Fiction,144
68,68,0385720106,A Map of the World,Jane Hamilton,1999,Anchor Books/Doubleday,http://images.amazon.com/images/P/0385720106.01.LZZZZZZZ.jpg,"While under the care of Alice Goodwin, a neighbor&#39;s child drowns
in the Goodwins&#39; pond, a devastating accident that has profound
repercussions for the entire Goodwin family, in a story set in a small
Midwestern farm town",Fiction,307
69,69,0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers,http://images.amazon.com/images/P/0385730586.01.LZZZZZZZ.jpg,"Over a few bags of cheese puffs they decide to form a sisterhood, and
take the vow of The Sisterhood of the Traveling Pants . . . the next
morning, they say good-bye.",Juvenile Fiction,123
70,70,0425163407,Unnatural Exposure,Patricia Daniels Cornwell,1998,Berkley Publishing Group,http://images.amazon.com/images/P/0425163407.01.LZZZZZZZ.jpg,"In a number-one New York Times best-seller, detective Kay Scarpetta
returns in a terrifying battle of wits against a vicious, saw-wielding
killer no one can see. By the author of Cause of Death. Reprint.",Fiction,173
71,71,044023722X,A Painted House,John Grisham,2001,Dell Publishing Company,http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg,"Racial tension, a forbidden love affair, and murder are seen through
the eyes of a seven-year-old boy in a 1950s Southern cotton-farming
community.",Fiction,625
72,72,0446353205,The Charm School,Nelson DeMille,1989,Warner Books,http://images.amazon.com/images/P/0446353205.01.LZZZZZZZ.jpg,"The secret concerns &quot;The Charm School,&quot; a vast and
astounding KGB conspiracy that stands poised against the very
heartland of America.",Fiction,82
73,73,0446358592,By the Rivers of Babylon,Nelson DeMille,1990,Warner Books,http://images.amazon.com/images/P/0446358592.01.LZZZZZZZ.jpg,"Lod Airport, Israel: Two Concorde jets take off for a U.N. conference
that will finally bring peace to the Middle East.",Fiction,29
74,74,0446360856,The Gold Coast,Nelson DeMille,1991,Warner Books,http://images.amazon.com/images/P/0446360856.01.LZZZZZZZ.jpg,"Told from Sutter&#39;s sardonic and often hilarious point of view, and
laced with sexual passion and suspense, The Gold Coast is Nelson
DeMille&#39;s captivating story of friendship and seduction, love and
betrayal.",Fiction,72
75,75,0446600474,Season of the Machete,James Patterson,1995,Warner Books,http://images.amazon.com/images/P/0446600474.01.LZZZZZZZ.jpg,"Forsaking his life of leisure, Peter Macdonald prepares for a
confrontation on a vacation island with psychopathic killers-for-hire
Damian and Carrie Rose",Fiction,70
76,76,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,http://images.amazon.com/images/P/0449006522.01.LZZZZZZZ.jpg,"When college student Jeff Converse is wrongly accused of a violent
crime, he becomes trapped in the dark and evil underworld of Manhattan
where deranged predators hunt for prey in a deadly game.",Fiction,105
77,77,0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books,http://images.amazon.com/images/P/0449911004.01.LZZZZZZZ.jpg,"Centering around a Minneapolis beauty parlor that also functions as a
women&#39;s support group, this novel explores the loves, losses,
hopes, and victories experienced by Patty Jane and Harriet, two
eccentric sisters",Fiction,75
78,78,0451162072,Pet Sematary,Stephen King,1994,Signet Book,http://images.amazon.com/images/P/0451162072.01.LZZZZZZZ.jpg,"When a little boy&#39;s pet dies, and he persuades his parents to bury
it in an old Indian cemetary, reputed by legend to house restless
spirits, a nightmare of death and destruction begins as deceased
animals come back to life. Reissue.",Fiction,127
79,79,0451186648,Silent Snow,Steve Thayer,2000,Signet Book,http://images.amazon.com/images/P/0451186648.01.LZZZZZZZ.jpg,"Twin Cities investigative reporter Rick Beanblossom&#39;s family
becomes the target of a terrifying copycat crime on the anniversary of
the 1932 Lindberg kidnapping. Reprint.",Fiction,37
80,80,0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg,"A poor seventeenth-century servant girl knows her place in the
household of the painter Johannes Vermeer, but when he begins to paint
her, nasty whispers and rumors circulate throughout the town. Reprint.",Fiction,495
81,81,051512219X,Small Town Girl,Lavyrle Spencer,1998,Jove Books,http://images.amazon.com/images/P/051512219X.01.LZZZZZZZ.jpg,"Country music superstar Mac McPhail returns to her hometown of
Wintergreen, Missouri, where she learns to appreciate her family and
to open her heart to love and commitment with the man next door.
Reprint.",Fiction,103
82,82,0515130389,Carolina Moon,Nora Roberts,2001,Jove Books,http://images.amazon.com/images/P/0515130389.01.LZZZZZZZ.jpg,"From the #1 New York Times bestselling author-a spellbinding tale
about a woman who, though battered in both body and spirit, never
loses hope...",Fiction,200
83,83,051513290X,Summer of Storms,Judith Kelman,2002,Jove Books,http://images.amazon.com/images/P/051513290X.01.LZZZZZZZ.jpg,"Thirty years after the murder of her sister, photojournalist Anna
Jamieson returns to New York City, the scene of the unsolved crime,
and finds herself on a collision course with her terrifying memories
and with a fiendishly clever killer.",Fiction,38
84,84,0553580388,The Patient,Michael Palmer,2001,Bantam Books,http://images.amazon.com/images/P/0553580388.01.LZZZZZZZ.jpg,"Blackmailed by a master assassin to agree to perform life-saving
surgery on the killer, famous neurosurgeon Jesse Copeland struggles
with the choice between saving a terrorist&#39;s life or the lives of
those he threatens. Reprint.",Fiction,76
85,85,0679450408,Silent Witness,Richard North Patterson,1997,Random House Inc,http://images.amazon.com/images/P/0679450408.01.LZZZZZZZ.jpg,"Years after being wrongfully accused of the murder of his first love,
Alison, successful San Francisco attorney Tony Lord returns to Lake
City, Ohio, to defend old friend Sam Robb, charged with killing one of
his students, and must confront ...",Fiction,135
86,86,0684848783,Tis : A Memoir,Frank McCourt,1999,Scribner,http://images.amazon.com/images/P/0684848783.01.LZZZZZZZ.jpg,"And now we have &#39;Tis, the story of Frank&#39;s American journey
from impoverished immigrant to brilliant teacher and raconteur. Frank
lands in New York at age nineteen, in the company of a priest he meets
on the boat.",Biography Autobiography,167
87,87,0786863986,A Monk Swimming,Malachy McCourt,1998,Hyperion,http://images.amazon.com/images/P/0786863986.01.LZZZZZZZ.jpg,"This book covers the decade 1952-63, when Malachy roistered across the
U.S., Europe, and Asia, but spent most of his time in New York City.",Biography Autobiography,32
88,88,0804117934,The Silent Cry (William Monk Novels (Paperback)),Anne Perry,1998,Ivy Books,http://images.amazon.com/images/P/0804117934.01.LZZZZZZZ.jpg,"Victorian-era criminal investigator William Monk wonders if a
respected solicitor general found dead in a London slum or his barely
living son could be responsible for a series of rapes and beatings of
local prostitutes. Reprint.",Fiction,20
89,89,155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications,http://images.amazon.com/images/P/155874262X.01.LZZZZZZZ.jpg,"Features inspirational stories offering words of wisdom, hope, and
empowerment",Self Help,195
90,90,0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books,http://images.amazon.com/images/P/0060987103.01.LZZZZZZZ.jpg,"When Dorothy triumphed over the Wicked Witch of the West in L. Frank
Baum&#39;s classic tale, we heard only her side of the story. But what
about her arch-nemesis, the mysterious witch? Where did she come from?
How did she become so wicked?",Fiction,307
91,91,0151008116,Life of Pi,Yann Martel,2002,Harcourt,http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg,"After the sinking of a cargo ship, a solitary lifeboat remains bobbing
on the wild blue Pacific.",Fiction,161
